source,target,realValue,layerID,layerColor,layerUnit
Natural gas import,Natural gas,2.26,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,3.79,Natural gas,#FFD700,TWh
Natural gas,Boilers,0.18,Natural gas,#FFD700,TWh
Electricity import,Electricity,5.00,Electricity,#00BFFF,TWh
Wind,Electricity,12.12,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.97,Hydro river,#0000FF,TWh
Solar,Electricity,42.93,Solar,#FFFF00,TWh
Solar,Heat LT dec,7.82,Solar,#FFFF00,TWh
Geothermal,Electricity,5.33,Geothermal,#FF0000,TWh
Geothermal,DHN,6.76,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Wood,Hydrogen,0.61,Wood,#CD853F,TWh
Wood,Biofuels,1.51,Wood,#CD853F,TWh
Wood,Boilers,10.17,Wood,#CD853F,TWh
Electricity,Mobility private,11.41,Electricity,#00BFFF,TWh
Electricity,Mobility public,1.63,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,8.31,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,4.76,Electricity,#00BFFF,TWh
Electricity,Hydrogen,4.01,Electricity,#00BFFF,TWh
Electricity,Heat LT dec,3.80,Electricity,#00BFFF,TWh
Electricity,Heat HT,17.29,Electricity,#00BFFF,TWh
Hydrogen,Mobility public,1.79,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
Heat pumps,Heat LT dec,23.70,Heat LT,#FA8072,TWh
Heat pumps,DHN,6.76,Heat LT,#FA8072,TWh
Biofuels,Electricity,0.00,Electricity,#00BFFF,TWh
Biofuels,Natural gas,1.12,Natural gas,#FFD700,TWh
Biofuels,DHN,0.13,Heat LT,#FA8072,TWh
Electricity,Power to gas,0.79,Electricity,#00BFFF,TWh
Power to gas,Natural gas,0.60,Natural gas,#FFD700,TWh
Boilers,Heat LT dec,0.76,Heat LT,#FA8072,TWh
Boilers,Heat HT,17.29,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,18.36,Heat LT,#FA8072,TWh
DHN,Losses DHN,0.97,Heat LT,#FA8072,TWh
