source,target,realValue,layerID,layerColor,layerUnit
Gasoline import,Gasoline,5.40,Gasoline,#808080,TWh
Gasoline,Mobility private,4.46,Gasoline,#808080,TWh
Gasoline,Mobility private,0.93,Gasoline,#808080,TWh
Diesel import,Diesel,5.29,Diesel,#D3D3D3,TWh
Diesel,Mobility private,5.29,Diesel,#D3D3D3,TWh
Natural gas import,Natural gas,13.40,Natural gas,#FFD700,TWh
Natural gas,Mobility public,2.41,Natural gas,#FFD700,TWh
Natural gas,Hydrogen,2.50,Natural gas,#FFD700,TWh
Natural gas,Boilers,24.82,Natural gas,#FFD700,TWh
Wind,Electricity,14.03,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.23,Hydro river,#0000FF,TWh
Solar,Electricity,55.67,Solar,#FFFF00,TWh
Solar,Heat LT dec,7.83,Solar,#FFFF00,TWh
Geothermal,Electricity,4.91,Geothermal,#FF0000,TWh
Geothermal,DHN,10.41,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Oil import,Oil,1.89,Oil,#8B008B,TWh
Oil,Boilers,4.39,Oil,#8B008B,TWh
Wood,Biofuels,3.74,Wood,#CD853F,TWh
Wood,Boilers,8.54,Wood,#CD853F,TWh
Electricity,Mobility private,1.97,Electricity,#00BFFF,TWh
Electricity,Mobility public,4.90,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,8.91,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,7.57,Electricity,#00BFFF,TWh
Electricity,Hydrogen,8.56,Electricity,#00BFFF,TWh
Electricity,Heat HT,6.92,Electricity,#00BFFF,TWh
Hydrogen,Mobility private,2.70,Hydrogen,#FF00FF,TWh
Hydrogen,Mobility public,3.58,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
Heat pumps,Heat LT dec,18.19,Heat LT,#FA8072,TWh
Heat pumps,DHN,6.25,Heat LT,#FA8072,TWh
Biofuels,Electricity,0.06,Electricity,#00BFFF,TWh
Biofuels,Oil,2.49,Oil,#8B008B,TWh
Electricity,Power to gas,21.73,Electricity,#00BFFF,TWh
Power to gas,Natural gas,16.34,Natural gas,#FFD700,TWh
Boilers,Heat LT dec,11.15,Heat LT,#FA8072,TWh
Boilers,DHN,4.16,Heat LT,#FA8072,TWh
Boilers,Heat HT,27.67,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,20.40,Heat LT,#FA8072,TWh
DHN,Losses DHN,1.07,Heat LT,#FA8072,TWh
