source,target,realValue,layerID,layerColor,layerUnit
Gasoline import,Gasoline,5.40,Gasoline,#808080,TWh
Gasoline,Mobility private,4.46,Gasoline,#808080,TWh
Gasoline,Mobility private,0.93,Gasoline,#808080,TWh
Diesel import,Diesel,5.29,Diesel,#D3D3D3,TWh
Diesel,Mobility private,5.29,Diesel,#D3D3D3,TWh
Natural gas import,Natural gas,18.40,Natural gas,#FFD700,TWh
Natural gas import,Natural gas CCS,82.68,Natural gas,#FFD700,TWh
Natural gas,Mobility public,2.41,Natural gas,#FFD700,TWh
Natural gas CCS,Electricity,82.68,Natural gas,#FFD700,TWh
Natural gas,Boilers,23.97,Natural gas,#FFD700,TWh
Wind,Electricity,14.85,Wind,#FFA500,TWh
Hydro dam,Electricity,24.81,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.97,Hydro river,#0000FF,TWh
Solar,Electricity,7.61,Solar,#FFFF00,TWh
Solar,Heat LT dec,6.18,Solar,#FFFF00,TWh
Geothermal,DHN,12.88,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Oil import,Oil,5.22,Oil,#8B008B,TWh
Oil,Boilers,5.22,Oil,#8B008B,TWh
Wood,Boilers,12.28,Wood,#CD853F,TWh
Electricity,Mobility private,1.97,Electricity,#00BFFF,TWh
Electricity,Mobility public,4.90,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,8.57,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,9.23,Electricity,#00BFFF,TWh
Electricity,Hydrogen,10.91,Electricity,#00BFFF,TWh
Electricity,Heat LT dec,2.66,Electricity,#00BFFF,TWh
Electricity,Heat HT,6.92,Electricity,#00BFFF,TWh
Hydrogen,Mobility private,2.70,Hydrogen,#FF00FF,TWh
Hydrogen,Mobility public,3.58,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
Heat pumps,Heat LT dec,22.11,Heat LT,#FA8072,TWh
Heat pumps,DHN,7.73,Heat LT,#FA8072,TWh
Electricity,Power to gas,10.61,Electricity,#00BFFF,TWh
Power to gas,Natural gas,7.98,Natural gas,#FFD700,TWh
Boilers,Heat LT dec,13.27,Heat LT,#FA8072,TWh
Boilers,DHN,5.15,Heat LT,#FA8072,TWh
Boilers,Heat HT,27.67,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,24.47,Heat LT,#FA8072,TWh
DHN,Losses DHN,1.29,Heat LT,#FA8072,TWh
