source,target,realValue,layerID,layerColor,layerUnit
Gasoline import,Gasoline,5.40,Gasoline,#808080,TWh
Gasoline,Mobility private,4.46,Gasoline,#808080,TWh
Gasoline,Mobility private,0.93,Gasoline,#808080,TWh
Diesel import,Diesel,5.29,Diesel,#D3D3D3,TWh
Diesel,Mobility private,5.29,Diesel,#D3D3D3,TWh
Natural gas import,Natural gas,23.35,Natural gas,#FFD700,TWh
Natural gas,Mobility public,2.41,Natural gas,#FFD700,TWh
Natural gas,Hydrogen,4.17,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,0.81,Natural gas,#FFD700,TWh
Natural gas,Boilers,23.84,Natural gas,#FFD700,TWh
Wind,Electricity,14.10,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.97,Hydro river,#0000FF,TWh
Solar,Electricity,48.36,Solar,#FFFF00,TWh
Solar,Heat LT dec,7.76,Solar,#FFFF00,TWh
Geothermal,Electricity,2.13,Geothermal,#FF0000,TWh
Geothermal,DHN,12.28,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Oil import,Oil,5.29,Oil,#8B008B,TWh
Oil,Boilers,5.29,Oil,#8B008B,TWh
Wood,Boilers,12.28,Wood,#CD853F,TWh
Electricity,Mobility private,1.97,Electricity,#00BFFF,TWh
Electricity,Mobility public,4.90,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,8.46,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,9.24,Electricity,#00BFFF,TWh
Electricity,Hydrogen,6.99,Electricity,#00BFFF,TWh
Electricity,Heat HT,6.92,Electricity,#00BFFF,TWh
Hydrogen,Mobility private,2.70,Hydrogen,#FF00FF,TWh
Hydrogen,Mobility public,3.58,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
Heat pumps,Heat LT dec,23.61,Heat LT,#FA8072,TWh
Heat pumps,DHN,7.37,Heat LT,#FA8072,TWh
Electricity,Power to gas,15.72,Electricity,#00BFFF,TWh
Power to gas,Natural gas,11.82,Natural gas,#FFD700,TWh
Natural gas,Gas to power,3.94,Natural gas,#FFD700,TWh
Gas to power,Electricity,2.96,Electricity,#00BFFF,TWh
Boilers,Heat LT dec,13.45,Heat LT,#FA8072,TWh
Boilers,DHN,4.91,Heat LT,#FA8072,TWh
Boilers,Heat HT,27.67,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,24.47,Heat LT,#FA8072,TWh
DHN,Losses DHN,1.29,Heat LT,#FA8072,TWh
