source,target,realValue,layerID,layerColor,layerUnit
Natural gas import,Natural gas,2.38,Natural gas,#FFD700,TWh
Natural gas,Heat pumps,5.73,Natural gas,#FFD700,TWh
Natural gas,Boilers,1.29,Natural gas,#FFD700,TWh
Electricity import,Electricity,5.00,Electricity,#00BFFF,TWh
Wind,Electricity,11.57,Wind,#FFA500,TWh
Hydro dam,Electricity,25.38,Hydro dam,#00CED1,TWh
Hydro river,Electricity,27.97,Hydro river,#0000FF,TWh
Solar,Electricity,47.98,Solar,#FFFF00,TWh
Solar,Heat LT dec,7.70,Solar,#FFFF00,TWh
Geothermal,Electricity,4.98,Geothermal,#FF0000,TWh
Geothermal,DHN,6.73,Geothermal,#FF0000,TWh
Waste,Boilers,11.14,Waste,#808000,TWh
Wood,Hydrogen,0.73,Wood,#CD853F,TWh
Wood,Biofuels,3.47,Wood,#CD853F,TWh
Wood,Boilers,8.09,Wood,#CD853F,TWh
Electricity,Mobility private,11.41,Electricity,#00BFFF,TWh
Electricity,Mobility public,1.63,Electricity,#00BFFF,TWh
Electricity,Freight,1.43,Electricity,#00BFFF,TWh
Electricity,Losses electricity,8.60,Electricity,#00BFFF,TWh
Electricity,Electricity demand,65.29,Electricity,#00BFFF,TWh
Electricity,Heat pumps,5.42,Electricity,#00BFFF,TWh
Electricity,Hydrogen,3.92,Electricity,#00BFFF,TWh
Electricity,Heat LT dec,5.13,Electricity,#00BFFF,TWh
Electricity,Heat HT,17.29,Electricity,#00BFFF,TWh
Hydrogen,Mobility public,1.79,Hydrogen,#FF00FF,TWh
Hydrogen,Freight,2.45,Hydrogen,#FF00FF,TWh
Heat pumps,Heat LT dec,29.93,Heat LT,#FA8072,TWh
Heat pumps,DHN,6.73,Heat LT,#FA8072,TWh
Biofuels,Electricity,0.00,Electricity,#00BFFF,TWh
Biofuels,Natural gas,2.57,Natural gas,#FFD700,TWh
Biofuels,DHN,0.31,Heat LT,#FA8072,TWh
Electricity,Power to gas,2.76,Electricity,#00BFFF,TWh
Power to gas,Natural gas,2.07,Natural gas,#FFD700,TWh
Boilers,Heat HT,17.29,Heat HT,#DC143C,TWh
DHN,Heat LT DHN,21.21,Heat LT,#FA8072,TWh
DHN,Losses DHN,1.12,Heat LT,#FA8072,TWh
